-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  10.3701   Longitude 3.3861 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 318.51 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,20.16,21.04,20.84,22.01,22.39,20.31,18.8,16.79,19.11,21.36,20.77,20.24,20.31
ALLSKY_SFC_SW_DWN,2004,19.64,20.04,20.04,21.59,20.15,19.9,17.66,16.69,19.88,21.01,19.85,20.12,19.71
ALLSKY_SFC_SW_DWN,2005,18.37,18.78,20.77,21.42,21.15,20.02,17.97,16.89,19.73,19.79,20.63,20.33,19.65
ALLSKY_SFC_SW_DWN,2006,19.0,20.66,20.42,22.15,19.72,19.43,19.0,16.42,17.16,20.16,20.5,19.09,19.46
ALLSKY_SFC_SW_DWN,2007,18.31,20.8,20.51,20.93,20.1,20.2,17.42,17.6,19.27,20.63,19.81,18.77,19.52
ALLSKY_SFC_SW_DWN,2008,19.71,19.89,21.96,20.95,20.62,20.62,17.47,17.12,17.6,20.39,20.58,19.56,19.7
ALLSKY_SFC_SW_DWN,2009,19.07,19.51,20.21,22.21,21.64,19.37,17.98,16.8,18.54,19.39,20.27,20.65,19.63
ALLSKY_SFC_SW_DWN,2010,21.29,22.02,20.07,20.44,20.12,19.61,16.9,16.34,17.97,18.96,20.01,20.52,19.5
ALLSKY_SFC_SW_DWN,2011,19.94,19.37,22.55,21.27,20.1,19.25,18.65,17.03,17.44,20.23,22.08,19.83,19.81
ALLSKY_SFC_SW_DWN,2012,19.72,19.66,20.58,21.27,19.26,19.7,16.21,16.14,18.61,20.54,20.6,19.81,19.33
ALLSKY_SFC_SW_DWN,2013,19.59,20.17,20.75,21.28,21.64,19.42,18.36,16.43,18.93,20.81,21.25,20.03,19.88
ALLSKY_SFC_SW_DWN,2014,19.33,20.79,22.17,20.96,20.89,19.8,19.03,17.2,18.15,20.82,20.73,19.66,19.95
ALLSKY_SFC_SW_DWN,2015,19.79,20.76,19.79,21.32,21.13,20.07,18.13,16.56,19.22,19.62,21.0,18.29,19.62
ALLSKY_SFC_SW_DWN,2016,19.31,19.7,20.81,22.48,21.02,18.04,17.36,16.3,18.16,21.16,20.38,18.93,19.47
ALLSKY_SFC_SW_DWN,2017,19.46,21.02,23.55,21.46,20.53,19.71,18.72,15.93,17.81,21.33,20.84,17.19,19.79
ALLSKY_SFC_SW_DWN,2018,19.09,20.24,21.41,21.27,20.73,18.93,18.11,15.66,17.73,20.03,21.07,19.5,19.47
ALLSKY_SFC_SW_DWN,2019,20.74,21.15,21.73,21.4,19.8,19.54,17.4,16.72,18.25,17.97,21.14,21.1,19.73
ALLSKY_SFC_SW_DWN,2020,19.69,20.72,21.44,21.99,21.31,18.95,16.76,15.91,17.9,20.48,21.04,20.43,19.71
ALLSKY_SFC_SW_DWN,2021,21.56,21.17,20.33,23.49,21.89,20.01,17.05,16.18,18.15,21.31,21.26,19.6,20.15
ALLSKY_SFC_SW_DWN,2022,20.23,21.89,19.14,20.9,20.44,19.0,17.68,16.11,16.1,20.22,20.97,19.58,19.33
PRECTOTCORR,2003,0.01,0.07,0.41,1.92,4.55,5.81,6.38,12.62,4.88,2.03,0.26,0.0,3.27
PRECTOTCORR,2004,0.14,0.01,0.05,1.51,4.9,5.93,7.3,5.67,5.96,0.81,0.66,0.0,2.75
PRECTOTCORR,2005,0.0,0.03,0.57,0.67,3.12,6.59,10.09,8.46,6.07,1.72,0.0,0.0,3.13
PRECTOTCORR,2006,0.01,0.02,0.02,0.76,2.98,3.0,8.08,10.5,6.9,2.5,0.01,0.0,2.92
