-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  11.946   Longitude 2.745 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 251.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,20.36,21.42,22.11,22.63,22.82,19.95,19.21,17.09,20.36,21.62,20.52,20.4,20.7
ALLSKY_SFC_SW_DWN,2004,20.48,19.76,20.07,20.91,20.82,20.82,19.64,18.19,19.66,21.88,19.7,20.38,20.2
ALLSKY_SFC_SW_DWN,2005,18.01,19.53,20.16,21.67,21.79,20.85,19.26,18.78,20.42,21.16,20.13,20.87,20.22
ALLSKY_SFC_SW_DWN,2006,20.32,21.68,21.67,22.34,20.15,20.27,19.35,18.16,18.27,21.66,21.17,19.42,20.36
ALLSKY_SFC_SW_DWN,2007,18.44,22.02,21.56,20.25,20.56,21.49,18.68,18.54,20.04,20.96,19.86,19.09,20.11
ALLSKY_SFC_SW_DWN,2008,20.9,20.8,22.76,21.86,21.4,21.78,18.64,18.66,18.82,20.66,21.32,20.23,20.65
ALLSKY_SFC_SW_DWN,2009,20.03,19.79,20.53,23.25,21.89,20.61,19.65,18.79,19.1,20.72,20.1,20.89,20.45
ALLSKY_SFC_SW_DWN,2010,22.29,22.62,20.31,20.34,21.04,20.49,17.93,17.55,18.71,20.09,19.62,20.83,20.13
ALLSKY_SFC_SW_DWN,2011,20.2,20.33,22.59,22.7,21.37,20.16,19.71,18.42,19.68,20.77,22.02,20.13,20.67
ALLSKY_SFC_SW_DWN,2012,20.86,20.03,21.4,22.1,20.77,20.37,18.49,17.92,19.96,20.68,20.66,19.9,20.26
ALLSKY_SFC_SW_DWN,2013,20.56,21.46,21.51,21.5,22.44,20.41,19.73,17.69,20.13,21.33,20.99,19.77,20.62
ALLSKY_SFC_SW_DWN,2014,20.31,21.93,22.86,21.81,21.45,20.71,20.01,18.12,18.98,21.2,20.57,20.48,20.69
ALLSKY_SFC_SW_DWN,2015,19.93,22.22,21.06,22.13,21.47,21.58,19.06,17.78,19.58,20.81,20.91,18.18,20.37
ALLSKY_SFC_SW_DWN,2016,19.07,20.29,21.29,22.9,21.78,18.93,18.92,17.78,19.24,21.19,19.82,19.41,20.05
ALLSKY_SFC_SW_DWN,2017,20.88,21.74,24.72,21.78,20.93,19.74,19.82,17.3,19.88,22.28,20.71,18.2,20.66
ALLSKY_SFC_SW_DWN,2018,19.76,20.79,22.61,22.68,21.83,19.37,18.7,17.28,19.28,20.77,21.34,20.19,20.38
ALLSKY_SFC_SW_DWN,2019,21.34,22.08,22.1,21.92,21.28,21.29,18.86,18.19,19.34,18.96,21.91,21.24,20.69
ALLSKY_SFC_SW_DWN,2020,19.52,21.68,22.44,22.27,21.89,19.74,18.79,17.62,18.49,21.48,21.49,21.03,20.53
