-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2003 through 12/31/2022 in LST
Location: Latitude  9.5959   Longitude 1.4397 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 402.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2003,19.23,20.36,20.58,20.9,21.3,18.05,16.64,15.52,17.86,20.74,19.88,19.6,19.21
ALLSKY_SFC_SW_DWN,2004,19.12,19.06,19.79,20.79,18.74,17.7,16.8,16.66,18.82,20.07,19.45,19.05,18.83
ALLSKY_SFC_SW_DWN,2005,17.63,18.53,20.19,20.07,20.8,18.14,16.54,14.79,17.23,19.49,20.26,19.39,18.58
ALLSKY_SFC_SW_DWN,2006,18.72,20.24,20.07,21.71,19.72,18.65,16.41,15.65,16.55,18.85,20.16,18.3,18.73
ALLSKY_SFC_SW_DWN,2007,17.14,19.63,20.44,20.31,19.42,19.16,16.39,15.44,17.76,19.56,19.26,17.54,18.49
ALLSKY_SFC_SW_DWN,2008,19.24,18.21,21.05,20.78,20.45,18.67,16.33,15.1,16.26,20.31,20.13,18.54,18.76
ALLSKY_SFC_SW_DWN,2009,18.67,19.33,19.99,21.03,21.13,18.84,16.6,15.85,17.78,18.53,19.4,19.79,18.9
ALLSKY_SFC_SW_DWN,2010,20.05,21.07,19.31,19.91,19.4,18.34,15.86,15.47,16.21,18.32,19.21,19.92,18.57
ALLSKY_SFC_SW_DWN,2011,18.6,19.1,21.56,21.17,19.82,17.76,17.01,16.23,16.29,19.36,21.36,19.1,18.94
ALLSKY_SFC_SW_DWN,2012,18.66,18.86,19.9,20.64,19.47,18.23,15.69,15.27,16.43,19.37,20.19,18.75,18.45
